gene_id	Control_Rep1	Control_Rep2	Control_Rep3	Treated_Rep1	Treated_Rep2	Treated_Rep3
GENE_0176	134	208	147	222	294	160
GENE_0177	224	215	298	298	425	383
GENE_0178	305	159	109	199	152	173
GENE_0179	243	182	125	108	155	187
GENE_0180	504	574	531	582	440	616
GENE_0181	56	42	51	58	49	57
GENE_0182	114	193	214	186	155	141
GENE_0183	32	81	40	42	34	37
GENE_0184	81	133	88	231	128	107
GENE_0185	699	337	366	286	775	574
GENE_0186	321	727	431	483	276	461
GENE_0187	93	153	160	122	114	115
GENE_0188	64	70	54	67	85	42
GENE_0189	1609	1257	1144	993	1569	758
GENE_0190	164	186	91	156	152	228
GENE_0191	63	27	54	56	86	52
GENE_0192	236	79	115	92	94	58
GENE_0193	80	140	102	42	120	102
GENE_0194	51	78	69	65	149	127
GENE_0195	24	32	23	28	30	53
GENE_0196	420	800	509	666	785	621
GENE_0197	20	18	22	21	20	14
GENE_0198	113	141	119	58	142	117
GENE_0199	18	15	23	17	7	11
GENE_0200	88	76	65	123	98	58
GENE_0201	53	38	29	29	24	57
GENE_0202	276	200	284	408	411	365
GENE_0203	661	342	574	537	341	871
GENE_0204	517	597	308	350	806	902
GENE_0205	684	832	927	736	934	776
GENE_0206	80	82	77	49	97	84
GENE_0207	96	149	154	96	130	190
GENE_0208	30	153	58	70	108	46
GENE_0209	58	32	107	67	100	83
GENE_0210	26	28	52	42	40	36
GENE_0211	773	482	543	583	326	584
GENE_0212	49	46	38	67	35	44
GENE_0213	93	131	105	156	79	90
GENE_0214	179	173	172	202	190	207
GENE_0215	225	276	492	187	360	209
GENE_0216	50	41	64	57	136	78
GENE_0217	565	226	477	521	648	393
GENE_0218	52	29	21	51	27	36
GENE_0219	221	295	287	123	143	196
GENE_0220	360	382	141	279	379	348
GENE_0221	25	35	40	31	45	10
GENE_0222	172	302	167	195	211	178
GENE_0223	161	223	252	151	287	167
GENE_0224	137	166	77	141	56	111
GENE_0225	10	9	14	16	11	12
GENE_0226	20	11	12	11	30	17
GENE_0227	139	199	155	74	121	129
GENE_0228	90	104	148	168	107	128
GENE_0229	82	191	194	92	244	163
GENE_0230	126	141	150	152	202	130
GENE_0231	54	57	65	77	140	63
GENE_0232	628	473	672	486	532	392
GENE_0233	324	305	250	225	333	292
GENE_0234	46	50	60	44	40	48
GENE_0235	118	239	107	187	191	113
GENE_0236	190	378	208	336	202	102
GENE_0237	345	522	302	282	303	204
GENE_0238	103	131	137	97	143	84
GENE_0239	98	77	170	120	51	110
GENE_0240	290	200	146	269	319	206
GENE_0241	532	239	380	451	492	467
GENE_0242	96	36	106	102	95	139
GENE_0243	215	401	692	672	351	393
GENE_0244	217	122	193	112	99	137
GENE_0245	257	276	202	227	142	99
GENE_0246	25	48	46	33	34	39
GENE_0247	51	43	40	33	17	34
GENE_0248	310	232	328	331	311	245
GENE_0249	88	88	76	96	82	78
GENE_0250	127	86	64	123	105	78
GENE_0251	179	143	180	104	160	166
GENE_0252	292	218	339	198	269	293
GENE_0253	15	13	14	15	11	9
GENE_0254	57	41	32	42	65	37
GENE_0255	41	75	42	45	51	46
GENE_0256	149	155	253	151	158	168
GENE_0257	41	110	108	69	64	51
GENE_0258	47	30	59	48	70	84
GENE_0259	29	13	20	12	34	39
GENE_0260	107	156	215	153	326	269
GENE_0261	298	234	237	301	519	492
GENE_0262	324	200	202	275	302	296
GENE_0263	198	208	243	277	409	187
GENE_0264	189	116	141	241	117	278
GENE_0265	182	162	216	88	193	141
GENE_0266	334	316	195	292	545	229
GENE_0267	23	20	36	14	25	27
GENE_0268	898	1073	344	851	810	629
GENE_0269	200	127	242	120	94	104
GENE_0270	253	158	166	170	133	161
GENE_0271	514	675	545	768	544	252
GENE_0272	105	168	185	150	227	178
GENE_0273	58	47	62	70	64	72
GENE_0274	344	297	281	324	243	445
GENE_0275	103	126	105	120	174	166
GENE_0276	241	356	426	319	154	333
GENE_0277	278	278	187	268	216	205
GENE_0278	297	229	359	216	304	168
GENE_0279	152	166	200	210	204	139
GENE_0280	257	304	306	413	314	306
GENE_0281	76	45	75	89	69	92
GENE_0282	132	84	152	110	80	105
GENE_0283	361	645	398	543	486	556
GENE_0284	5	10	28	14	8	10
GENE_0285	278	248	389	387	342	660
GENE_0286	240	327	230	158	162	232
GENE_0287	26	35	23	49	41	50
GENE_0288	116	89	81	140	99	123
GENE_0289	66	62	45	59	29	58
GENE_0290	150	78	258	242	83	181
GENE_0291	159	115	148	179	150	132
GENE_0292	365	282	297	355	222	207
GENE_0293	102	51	147	65	86	99
GENE_0294	451	650	561	590	356	354
GENE_0295	209	139	147	149	166	79
GENE_0296	132	160	103	149	132	181
GENE_0297	115	95	143	105	90	108
GENE_0298	225	182	274	168	204	135
GENE_0299	103	111	100	106	235	124
GENE_0300	477	712	550	901	571	380
GENE_0301	293	499	425	351	321	470
GENE_0302	302	153	246	209	323	109
GENE_0303	252	240	307	198	208	211
GENE_0304	126	185	195	141	142	189
GENE_0305	251	292	362	253	280	386
GENE_0306	88	72	62	43	59	75
GENE_0307	203	177	130	135	143	105
GENE_0308	219	317	340	336	285	313
GENE_0309	120	79	52	115	73	140
GENE_0310	186	81	76	99	61	93
GENE_0311	17	20	13	16	11	14
GENE_0312	140	289	198	288	204	433
GENE_0313	34	44	34	23	43	28
GENE_0314	63	55	73	28	35	57
GENE_0315	39	62	28	31	31	12
GENE_0316	379	639	275	391	323	212
GENE_0317	261	220	339	391	431	388
GENE_0318	18	20	24	18	14	36
GENE_0319	296	298	246	472	383	280
GENE_0320	175	281	294	370	294	294
GENE_0321	104	98	83	62	112	114
GENE_0322	101	194	69	213	163	249
GENE_0323	730	733	346	755	722	295
GENE_0324	682	344	497	404	327	326
GENE_0325	27	13	25	40	16	35
GENE_0326	168	299	168	224	356	467
GENE_0327	13	9	23	32	12	13
GENE_0328	110	51	78	43	77	26
GENE_0329	239	533	327	458	362	342
GENE_0330	62	88	75	67	97	35
GENE_0331	157	181	221	155	258	145
GENE_0332	61	89	115	71	122	128
GENE_0333	152	95	140	148	79	206
GENE_0334	33	86	73	105	47	57
GENE_0335	422	710	576	327	443	820
GENE_0336	560	358	548	355	777	607
GENE_0337	170	229	225	197	184	201
GENE_0338	43	42	55	39	45	49
GENE_0339	184	140	344	265	141	202
GENE_0340	203	215	261	210	285	166
GENE_0341	963	792	1462	1246	786	1081
GENE_0342	23	32	36	32	20	28
GENE_0343	124	183	121	155	174	136
GENE_0344	482	319	283	323	181	287
GENE_0345	77	110	104	77	87	82
GENE_0346	34	48	55	58	47	25
GENE_0347	29	30	42	29	18	21
GENE_0348	132	115	106	122	76	97
GENE_0349	437	361	220	248	175	266
GENE_0350	328	362	183	343	184	178
GENE_0351	121	206	166	183	187	121
GENE_0352	208	158	99	130	123	161
GENE_0353	53	61	72	98	52	40
GENE_0354	240	161	169	188	198	376
GENE_0355	246	247	189	253	259	312
GENE_0356	443	243	311	338	237	508
GENE_0357	313	229	461	230	243	239
GENE_0358	77	21	73	55	30	88
GENE_0359	530	314	260	400	380	470
GENE_0360	32	113	58	100	106	59
GENE_0361	96	165	137	80	124	149
GENE_0362	65	42	71	40	84	58
GENE_0363	57	106	67	47	58	103
GENE_0364	470	554	380	360	379	458
GENE_0365	116	81	76	121	100	92
GENE_0366	524	279	368	402	368	245
GENE_0367	19	26	23	31	33	25
GENE_0368	17	13	30	10	10	18
GENE_0369	293	237	290	203	220	232
GENE_0370	61	57	18	36	49	65
GENE_0371	766	633	828	1039	828	796
GENE_0372	211	264	471	424	425	426
GENE_0373	292	201	179	122	164	169
GENE_0374	47	34	55	34	25	18
GENE_0375	318	304	345	467	205	208
GENE_0376	245	205	198	169	201	252
GENE_0377	514	370	805	564	577	604
GENE_0378	71	85	118	145	77	70
GENE_0379	105	57	110	77	72	45
GENE_0380	1035	653	1186	828	901	854
GENE_0381	285	281	282	339	272	360
GENE_0382	354	276	248	284	225	200
GENE_0383	268	252	149	204	217	234
GENE_0384	21	29	24	10	21	29
GENE_0385	933	1586	1472	1283	1451	1654
GENE_0386	399	790	516	500	779	476
GENE_0387	234	120	109	158	179	194
GENE_0388	36	41	65	31	52	45
GENE_0389	21	18	14	15	13	34
GENE_0390	59	84	41	44	61	43
GENE_0391	257	277	249	280	533	337
GENE_0392	565	470	420	359	341	736
GENE_0393	126	77	64	97	67	148
GENE_0394	67	97	82	119	88	116
GENE_0395	124	150	153	172	137	135
GENE_0396	38	29	37	27	31	23
GENE_0397	14	33	17	34	11	23
GENE_0398	205	187	123	112	160	210
GENE_0399	246	200	166	284	116	175
GENE_0400	115	92	94	107	114	69
GENE_0401	152	193	150	110	131	169
GENE_0402	43	19	28	55	55	41
GENE_0403	122	185	149	94	118	62
GENE_0404	387	369	456	475	579	272
GENE_0405	137	85	92	115	96	169
GENE_0406	223	133	123	192	289	140
GENE_0407	1153	792	664	1097	1328	834
GENE_0408	637	414	703	394	500	443
GENE_0409	120	112	63	100	102	73
GENE_0410	134	128	93	70	83	152
GENE_0411	208	57	167	80	62	101
GENE_0412	514	813	464	422	480	363
GENE_0413	32	60	32	40	57	21
GENE_0414	63	138	77	78	89	113
GENE_0415	221	112	131	129	164	216
GENE_0416	142	148	126	228	137	135
GENE_0417	202	528	269	370	473	311
GENE_0418	144	279	210	232	150	117
GENE_0419	108	141	72	154	168	208
GENE_0420	380	284	351	179	240	443
GENE_0421	482	649	346	481	290	567
GENE_0422	902	1261	878	851	688	952
GENE_0423	193	173	120	191	176	82
GENE_0424	243	309	331	496	358	266
GENE_0425	107	127	129	125	85	48
GENE_0426	377	490	553	506	682	583
GENE_0427	113	132	136	201	177	176
GENE_0428	101	59	67	61	129	34
GENE_0429	769	497	676	442	657	531
GENE_0430	121	69	67	61	61	63
GENE_0431	319	439	468	436	419	460
GENE_0432	495	1130	904	748	887	949
GENE_0433	55	72	78	49	57	52
GENE_0434	60	29	63	52	65	96
GENE_0435	356	349	1024	681	1053	667
GENE_0436	573	565	539	521	719	684
GENE_0437	740	684	581	405	473	612
GENE_0438	291	242	269	264	319	198
GENE_0439	332	237	214	326	280	438
GENE_0440	139	136	262	113	81	148
GENE_0441	82	62	101	58	123	85
GENE_0442	411	447	277	365	321	729
GENE_0443	116	153	115	90	172	121
GENE_0444	16	43	16	19	7	15
GENE_0445	203	165	158	145	200	185
GENE_0446	24	10	19	11	5	25
GENE_0447	405	456	281	292	176	351
GENE_0448	601	878	599	606	1158	656
GENE_0449	143	90	137	105	120	176
GENE_0450	540	485	477	361	248	641
GENE_0451	36	67	62	53	33	17
GENE_0452	99	57	105	124	174	167
GENE_0453	104	76	71	92	75	92
GENE_0454	19	35	12	33	14	26
GENE_0455	1489	930	1672	766	667	1227
GENE_0456	43	27	34	43	40	25
GENE_0457	376	322	642	414	374	363
GENE_0458	123	134	86	216	130	92
GENE_0459	180	141	142	121	163	163
GENE_0460	573	373	233	449	251	517
GENE_0461	119	236	221	158	186	130
GENE_0462	253	385	199	324	223	236
GENE_0463	115	71	35	92	54	69
GENE_0464	44	51	41	62	46	49
GENE_0465	157	120	135	178	323	150
GENE_0466	156	84	129	134	207	149
GENE_0467	64	94	20	68	62	32
GENE_0468	280	198	405	194	183	377
GENE_0469	103	119	199	160	85	140
GENE_0470	506	320	492	259	366	444
GENE_0471	205	165	156	122	166	234
GENE_0472	35	21	44	50	61	57
GENE_0473	132	133	129	239	174	200
GENE_0474	164	316	341	295	184	269
GENE_0475	201	173	247	255	247	310
GENE_0476	375	641	284	537	195	241
GENE_0477	25	34	16	36	36	29
GENE_0478	95	39	69	66	78	159
GENE_0479	76	44	54	76	48	97
GENE_0480	144	109	89	129	81	54
GENE_0481	37	21	33	27	31	16
GENE_0482	384	197	647	674	471	621
GENE_0483	314	349	451	406	398	296
GENE_0484	402	344	246	208	249	233
GENE_0485	169	105	121	125	126	89
GENE_0486	23	25	19	31	26	18
GENE_0487	48	111	42	130	75	71
GENE_0488	279	287	225	140	266	111
GENE_0489	163	192	220	194	248	286
GENE_0490	17	28	24	20	49	24
GENE_0491	219	155	188	170	285	165
GENE_0492	358	344	607	257	498	312
GENE_0493	83	269	118	215	278	180
GENE_0494	62	115	101	94	99	75
GENE_0495	348	726	341	375	258	352
GENE_0496	77	98	90	38	32	55
GENE_0497	145	75	128	147	169	183
GENE_0498	34	41	57	40	54	28
GENE_0499	134	184	197	148	88	205
GENE_0500	26	46	21	21	44	25
