gene_id,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,status
GENE_0275,130.4,0.44,0.203,2.17,0.030197504967424668,0.21451993788547133,Not Significant
GENE_0286,222.05,-0.549,0.256,-2.15,0.03185276522019389,0.22337772532623149,Not Significant
GENE_0245,198.01,-0.668,0.314,-2.13,0.03320385473188155,0.22990517137138242,Not Significant
GENE_0244,144.68,-0.627,0.296,-2.12,0.03398164661955611,0.2323495087612149,Not Significant
GENE_0497,138.94,0.501,0.238,2.11,0.035063096922684535,0.2367841236630672,Not Significant
GENE_0475,235.26,0.367,0.176,2.09,0.03659789219063007,0.24222717098561058,Not Significant
GENE_0347,27.82,-0.58,0.277,-2.09,0.0367547626906868,0.24222717098561058,Not Significant
AURKA,40.31,-0.499,0.241,-2.07,0.038393578651101636,0.25001532764467377,Not Significant
GENE_0134,102.46,0.606,0.296,2.05,0.04040421169573193,0.26001298585371024,Not Significant
GENE_0373,185.3,-0.578,0.283,-2.04,0.04097063488449412,0.26059229397463124,Not Significant
GENE_0433,59.74,-0.392,0.194,-2.03,0.04285841862246732,0.26946614926999574,Not Significant
GENE_0124,152.59,-0.411,0.211,-1.95,0.05127042670930951,0.31869231147718524,Not Significant
GENE_0067,28.37,0.634,0.33,1.92,0.05459142146539165,0.3355225566468453,Not Significant
GENE_0322,162.33,0.755,0.399,1.89,0.0582794781592321,0.3542097172566662,Not Significant
GENE_0199,14.97,-0.674,0.36,-1.87,0.06148470696349142,0.36958389790142643,Not Significant
GENE_0488,215.32,-0.63,0.34,-1.85,0.06439780362530337,0.38288694112001026,Not Significant
GENE_0307,146.86,-0.429,0.233,-1.84,0.06552888682823274,0.3854225924198205,Not Significant
GENE_0298,195.42,-0.442,0.243,-1.82,0.06823684905405597,0.39322563795603016,Not Significant
GENE_0394,93.46,0.37,0.203,1.82,0.06829330092472188,0.39322563795603016,Not Significant
GENE_0455,1110.17,-0.639,0.358,-1.78,0.07453990369608646,0.4208050514683778,Not Significant
GENE_0194,88.49,0.759,0.426,1.78,0.07462173673205237,0.4208050514683778,Not Significant
GENE_0232,523.37,-0.348,0.197,-1.77,0.07731211787673728,0.43082127798070824,Not Significant
GENE_0121,82.44,-0.405,0.23,-1.76,0.07867977313761436,0.43082127798070824,Not Significant
GENE_0237,322.45,-0.586,0.334,-1.76,0.0792184570246117,0.43082127798070824,Not Significant
GENE_0030,39.16,-0.652,0.372,-1.75,0.0795483529726719,0.43082127798070824,Not Significant
GENE_0085,207.46,0.559,0.32,1.75,0.08045154010133151,0.43144110230812094,Not Significant
GENE_0022,146.44,0.655,0.382,1.71,0.08656837464061296,0.45973690221762414,Not Significant
GENE_0062,205.85,0.399,0.239,1.67,0.094635035678078,0.4977438895760449,Not Significant
GENE_0349,280.68,-0.58,0.348,-1.67,0.09555739406789035,0.497808519572724,Not Significant
GENE_0355,247.32,0.253,0.153,1.66,0.09674756799021596,0.499253959345737,Not Significant
GENE_0115,463.93,-0.246,0.149,-1.65,0.09824808705482345,0.4995255927567691,Not Significant
GENE_0074,1006.88,-0.382,0.231,-1.65,0.09928455615527569,0.4995255927567691,Not Significant
GENE_0114,346.08,0.485,0.294,1.65,0.0995398347540911,0.4995255927567691,Not Significant
GENE_0319,324.28,0.415,0.254,1.64,0.10173273411411825,0.5005638235817561,Not Significant
GENE_0326,276.13,0.699,0.427,1.64,0.10181104650594862,0.5005638235817561,Not Significant
GENE_0324,424.01,-0.542,0.332,-1.63,0.10249204431655702,0.5005638235817561,Not Significant
GENE_0054,219.81,-0.561,0.344,-1.63,0.10367711786787014,0.5018706502099555,Not Significant
GENE_0157,179.92,0.659,0.406,1.62,0.10482332961764121,0.5029680815864013,Not Significant
GENE_0109,43.34,0.418,0.258,1.62,0.10610015337678358,0.5046676860617445,Not Significant
GENE_0045,152.85,0.566,0.354,1.6,0.10961640851010221,0.5122697028367054,Not Significant
GENE_0139,249.96,-0.487,0.305,-1.6,0.10995734693600265,0.5122697028367054,Not Significant
GENE_0068,56.1,-0.518,0.325,-1.59,0.11099251428886803,0.5122697028367054,Not Significant
GENE_0258,55.46,0.548,0.344,1.59,0.11144441432827776,0.5122697028367054,Not Significant
GENE_0408,508.21,-0.409,0.258,-1.59,0.11295848800371755,0.5149024411502792,Not Significant
GENE_0412,503.22,-0.521,0.332,-1.57,0.11604732060242967,0.5185581647986747,Not Significant
GENE_0315,33.45,-0.809,0.515,-1.57,0.11634496495402143,0.5185581647986747,Not Significant
GENE_0425,102.21,-0.509,0.326,-1.56,0.11790934443115346,0.5185581647986747,Not Significant
HMBS,50.54,0.451,0.289,1.56,0.11810008351057466,0.5185581647986747,Not Significant
GENE_0216,69.91,0.783,0.501,1.56,0.1185004946980518,0.5185581647986747,Not Significant
GENE_0447,322.57,-0.499,0.323,-1.55,0.12221307289972257,0.5253096158401384,Not Significant
GENE_0391,317.41,0.535,0.347,1.54,0.1226117629836453,0.5253096158401384,Not Significant
GENE_0288,106.36,0.321,0.208,1.54,0.12292437079988612,0.5253096158401384,Not Significant
GENE_0489,214.02,0.32,0.21,1.53,0.1271843903207929,0.5393012519804163,Not Significant
GENE_0382,260.87,-0.325,0.214,-1.52,0.12903449167894537,0.5415153564729017,Not Significant
GENE_0396,30.42,-0.372,0.246,-1.52,0.12968649304926896,0.5415153564729017,Not Significant
GENE_0143,256.18,-0.55,0.367,-1.5,0.13397139399617713,0.5460521492172985,Not Significant
GENE_0451,44.16,-0.693,0.463,-1.49,0.13499789498198667,0.5460521492172985,Not Significant
B2M,132.25,-0.3,0.202,-1.49,0.1368460006349921,0.5460521492172985,Not Significant
GENE_0161,21.02,0.424,0.285,1.49,0.1370475506055888,0.5460521492172985,Not Significant
GENE_0357,282.11,-0.512,0.345,-1.48,0.13798651404735524,0.5460521492172985,Not Significant
GENE_0426,524.31,0.298,0.201,1.48,0.1380381938283278,0.5460521492172985,Not Significant
GENE_0166,1239.82,0.256,0.173,1.47,0.14034782139587942,0.5460521492172985,Not Significant
GENE_0440,144.68,-0.669,0.454,-1.47,0.14079071700143564,0.5460521492172985,Not Significant
GENE_0260,201.34,0.624,0.424,1.47,0.14096090329126193,0.5460521492172985,Not Significant
GENE_0273,61.24,0.282,0.192,1.47,0.14131434354283137,0.5460521492172985,Not Significant
GENE_0056,214.63,0.25,0.17,1.47,0.14211854028956045,0.5460521492172985,Not Significant
GENE_0108,43.74,-0.718,0.491,-1.46,0.14361766898039383,0.5460521492172985,Not Significant
GENE_0345,88.36,-0.261,0.179,-1.46,0.14375047438261607,0.5460521492172985,Not Significant
GENE_0439,299.75,0.397,0.275,1.44,0.1490688516420106,0.5548013787231335,Not Significant
GENE_0285,378.02,0.582,0.404,1.44,0.14946061537083613,0.5548013787231335,Not Significant
GENE_0465,174.46,0.641,0.446,1.44,0.1500599654775722,0.5548013787231335,Not Significant
GENE_0371,803.01,0.239,0.167,1.43,0.15157459363995043,0.5548013787231335,Not Significant
GENE_0430,72.63,-0.487,0.34,-1.43,0.1517645282220646,0.5548013787231335,Not Significant
GENE_0014,32.03,0.434,0.304,1.43,0.1539508405101155,0.5548013787231335,Not Significant
GENE_0328,63.31,-0.72,0.506,-1.42,0.15506186333316657,0.5548013787231335,Not Significant
GENE_0411,110.92,-0.841,0.593,-1.42,0.1557061045154611,0.5548013787231335,Not Significant
GENE_0231,74.87,0.647,0.456,1.42,0.1558326021836,0.5548013787231335,Not Significant
GENE_0075,94.12,-0.311,0.22,-1.41,0.1578262702968174,0.5548013787231335,Not Significant
GENE_0320,280.64,0.331,0.235,1.41,0.15792270517994977,0.5548013787231335,Not Significant
GENE_0265,161.55,-0.425,0.301,-1.41,0.15822489045851706,0.5548013787231335,Not Significant
GENE_0477,28.91,0.403,0.287,1.4,0.1606196847912471,0.5552702792217517,Not Significant
TOP2A,54.22,-0.667,0.477,-1.4,0.16199726748202403,0.5552702792217517,Not Significant
GENE_0344,308.13,-0.471,0.337,-1.4,0.16234221991378417,0.5552702792217517,Not Significant
GENE_0145,77.6,0.679,0.488,1.39,0.16400820065818056,0.5552702792217517,Not Significant
GENE_0281,73.19,0.331,0.239,1.39,0.16527589248133134,0.5552702792217517,Not Significant
GENE_0132,141.2,0.465,0.336,1.39,0.16587415044296538,0.5552702792217517,Not Significant
GENE_0379,76.62,-0.501,0.362,-1.38,0.1669772668492363,0.5552702792217517,Not Significant
GENE_0348,106.51,-0.276,0.2,-1.38,0.16732499307909876,0.5552702792217517,Not Significant
GENE_0367,25.79,0.361,0.262,1.38,0.16786473198620133,0.5552702792217517,Not Significant
GENE_0091,268.25,0.478,0.347,1.38,0.16850981051336522,0.5552702792217517,Not Significant
GENE_0039,436.37,0.511,0.377,1.35,0.17542815717774984,0.5746059998576597,Not Significant
GENE_0401,148.86,-0.291,0.216,-1.35,0.17763642794943724,0.5782994995706661,Not Significant
GENE_0306,65.59,-0.342,0.254,-1.34,0.17867022930062626,0.5782994995706661,Not Significant
GENE_0280,312.14,0.233,0.175,1.33,0.18268959513937733,0.5827596643474466,Not Significant
GENE_0192,110.74,-0.827,0.622,-1.33,0.18328297302668162,0.5827596643474466,Not Significant
GENE_0117,110.74,0.505,0.38,1.33,0.18387374335055173,0.5827596643474466,Not Significant
GENE_0155,163.57,0.225,0.17,1.32,0.1853036202678472,0.5827596643474466,Not Significant
GENE_0422,910.09,-0.308,0.233,-1.32,0.1865707814306531,0.5827596643474466,Not Significant
GENE_0099,81.05,-0.257,0.195,-1.32,0.18736295578701356,0.5827596643474466,Not Significant
GENE_0176,191.42,0.446,0.338,1.32,0.18750585178272505,0.5827596643474466,Not Significant
GENE_0065,36.13,0.556,0.424,1.31,0.1902253913924905,0.5878716897835724,Not Significant
GENE_0372,364.81,0.41,0.314,1.31,0.19147726582278635,0.5884160921632816,Not Significant
GENE_0294,487.44,-0.375,0.288,-1.3,0.19272988953003078,0.5889567015247309,Not Significant
GENE_0381,298.77,0.176,0.136,1.29,0.19653889930942736,0.5972598773458709,Not Significant
GENE_0184,126.1,0.602,0.47,1.28,0.19979200567396105,0.6037913099649541,Not Significant
GENE_0466,140.97,0.392,0.307,1.28,0.20165435261046605,0.6060710487798073,Not Significant
GENE_0368,16.13,-0.657,0.517,-1.27,0.203809052236528,0.6091997353736657,Not Significant
GENE_0364,427.73,-0.249,0.198,-1.26,0.20683042645126049,0.6092659040343911,Not Significant
GENE_0270,171.04,-0.33,0.262,-1.26,0.20703885871176742,0.6092659040343911,Not Significant
GENE_0278,258.72,-0.38,0.301,-1.26,0.2071726840043816,0.6092659040343911,Not Significant
GENE_0086,568.56,-0.562,0.453,-1.24,0.21495824765998683,0.6262479623456589,Not Significant
GENE_0234,47.36,-0.258,0.208,-1.24,0.2158036058800369,0.6262479623456589,Not Significant
GENE_0025,94.4,0.287,0.233,1.23,0.21694134312568325,0.6262479623456589,Not Significant
GENE_0242,94.14,0.478,0.388,1.23,0.21752671452591443,0.6262479623456589,Not Significant
GENE_0299,127.93,0.546,0.451,1.21,0.22588829903311125,0.6395474562405989,Not Significant
GENE_0482,491.24,0.505,0.418,1.21,0.22698232937205376,0.6395474562405989,Not Significant
GENE_0436,591.55,0.179,0.149,1.21,0.2271368754313008,0.6395474562405989,Not Significant
GENE_0312,254.86,0.537,0.445,1.21,0.22754241094897953,0.6395474562405989,Not Significant
GENE_0297,107.84,-0.238,0.197,-1.21,0.22799223759948228,0.6395474562405989,Not Significant
GENE_0018,1245.02,0.601,0.502,1.2,0.23050294402226124,0.6432913794906985,Not Significant
GENE_0195,31.19,0.462,0.387,1.19,0.23246627291645983,0.6440351068572657,Not Significant
GENE_0049,233.82,0.427,0.358,1.19,0.2331934460531505,0.6440351068572657,Not Significant
GENE_0036,233.35,0.497,0.419,1.19,0.23525523703106688,0.6440351068572657,Not Significant
GENE_0214,184.46,0.174,0.146,1.19,0.23547901530430193,0.6440351068572657,Not Significant
GENE_0444,19.13,-0.871,0.736,-1.18,0.23673379914521808,0.6442457121016631,Not Significant
GENE_0031,127.49,0.211,0.179,1.18,0.2391298117666636,0.6475445892889357,Not Significant
GENE_0264,177.43,0.493,0.42,1.17,0.24099552921360134,0.6493820417726106,Not Significant
GENE_0282,108.97,-0.335,0.288,-1.16,0.2442356004654943,0.6521053174954539,Not Significant
GENE_0434,59.87,0.466,0.4,1.16,0.2449792359273988,0.6521053174954539,Not Significant
GENE_0131,160.98,-0.429,0.37,-1.16,0.24558262413905574,0.6521053174954539,Not Significant
GENE_0032,23.85,-0.312,0.27,-1.16,0.2470532495265103,0.6528411956087011,Not Significant
GENE_0053,48.87,0.409,0.357,1.15,0.25220123122025717,0.6632407378725033,Not Significant
GENE_0251,153.21,-0.241,0.212,-1.13,0.25700166710905936,0.6726311574576816,Not Significant
GENE_0262,262.44,0.249,0.221,1.13,0.25974942145904956,0.6735484471639739,Not Significant
GENE_0495,395.32,-0.544,0.486,-1.12,0.26271217096607524,0.6735484471639739,Not Significant
GUSB,12.99,-0.553,0.494,-1.12,0.26320276361671624,0.6735484471639739,Not Significant
GENE_0133,104.62,0.184,0.165,1.12,0.26349850819498066,0.6735484471639739,Not Significant
GENE_0429,587.07,-0.269,0.241,-1.12,0.2642905316048437,0.6735484471639739,Not Significant
GENE_0107,314.58,-0.296,0.266,-1.11,0.26595593765798553,0.6735484471639739,Not Significant
GENE_0470,392.3,-0.319,0.287,-1.11,0.2659715988801067,0.6735484471639739,Not Significant
GENE_0060,75.54,0.431,0.389,1.11,0.26762388015861094,0.6746095043629501,Not Significant
GENE_0257,73.0,-0.512,0.464,-1.1,0.26928844706910027,0.6755524642242682,Not Significant
GENE_0082,79.68,-0.488,0.443,-1.1,0.2704679884188569,0.6755524642242682,Not Significant
GENE_0263,250.02,0.409,0.376,1.09,0.27729619327166033,0.6857052039180047,Not Significant
GENE_0292,284.02,-0.285,0.263,-1.09,0.2775537326844163,0.6857052039180047,Not Significant
GENE_0204,571.29,0.514,0.474,1.08,0.27829351968884286,0.6857052039180047,Not Significant
GENE_0090,512.8,0.313,0.293,1.07,0.285858394119179,0.7011862851264167,Not Significant
GENE_0191,55.46,0.411,0.39,1.05,0.2916315015832408,0.7092632227992137,Not Significant
GENE_0316,365.41,-0.502,0.476,-1.05,0.2922471760368357,0.7092632227992137,Not Significant
GENE_0080,172.9,-0.357,0.341,-1.05,0.2948602540203944,0.7092632227992137,Not Significant
GENE_0129,17.91,-0.353,0.34,-1.04,0.29912364286417503,0.7092632227992137,Not Significant
GENE_0295,146.14,-0.344,0.332,-1.04,0.29994473843328784,0.7092632227992137,Not Significant
GENE_0424,329.06,0.323,0.311,1.04,0.3000193393529017,0.7092632227992137,Not Significant
GENE_0172,172.41,-0.366,0.354,-1.04,0.30021787307234205,0.7092632227992137,Not Significant
GENE_0094,110.22,-0.346,0.334,-1.03,0.3008252220755053,0.7092632227992137,Not Significant
GENE_0042,80.72,-0.316,0.306,-1.03,0.30087408397606885,0.7092632227992137,Not Significant
GENE_0084,197.54,0.479,0.464,1.03,0.30211760678650235,0.7092632227992137,Not Significant
GENE_0407,963.26,0.304,0.299,1.02,0.30854881092288855,0.7212658101488035,Not Significant
GENE_0480,99.62,-0.389,0.383,-1.01,0.31057390133892837,0.7229103150314631,Not Significant
GENE_0493,187.92,0.494,0.492,1.0,0.3161735504381318,0.7328259834307546,Not Significant
GENE_0097,18.86,0.453,0.454,1.0,0.31806137727821615,0.734091026882634,Not Significant
GENE_0478,82.94,0.558,0.566,0.99,0.3244190524010384,0.7456185784175127,Not Significant
GENE_0325,25.58,0.459,0.47,0.98,0.3288958673448422,0.747217621820501,Not Significant
GENE_0141,69.69,0.304,0.312,0.97,0.3297635876047129,0.747217621820501,Not Significant
GENE_0276,300.94,-0.365,0.375,-0.97,0.3304076109340077,0.747217621820501,Not Significant
GENE_0241,420.2,0.277,0.285,0.97,0.33057891129901507,0.747217621820501,Not Significant
GENE_0142,172.64,0.348,0.36,0.97,0.33346387346930195,0.7506367851346015,Not Significant
GENE_0163,178.59,-0.486,0.507,-0.96,0.3381836866734027,0.7581412975834069,Not Significant
GENE_0096,400.5,-0.252,0.264,-0.95,0.3404759623610679,0.7601646996387924,Not Significant
GENE_0240,234.73,0.303,0.32,0.95,0.3429537335677575,0.7609715715432357,Not Significant
GENE_0354,218.52,0.4,0.423,0.95,0.34455625239645493,0.7609715715432357,Not Significant
GENE_0029,80.79,-0.296,0.315,-0.94,0.34775712105245793,0.7609715715432357,Not Significant
GENE_0296,140.78,0.205,0.222,0.93,0.3547609456472831,0.7609715715432357,Not Significant
GENE_0156,57.77,-0.308,0.334,-0.92,0.3564225809449022,0.7609715715432357,Not Significant
GENE_0104,61.92,-0.48,0.523,-0.92,0.35863440995642615,0.7609715715432357,Not Significant
GENE_0313,33.9,-0.268,0.293,-0.91,0.36091998162316496,0.7609715715432357,Not Significant
GENE_0187,124.56,-0.23,0.252,-0.91,0.3613844747158367,0.7609715715432357,Not Significant
GENE_0418,186.38,-0.364,0.402,-0.9,0.3655726183396829,0.7609715715432357,Not Significant
GENE_0390,54.64,-0.331,0.366,-0.9,0.3661005832238081,0.7609715715432357,Not Significant
GENE_0311,14.96,-0.296,0.328,-0.9,0.36674114022865767,0.7609715715432357,Not Significant
GENE_0481,27.12,-0.309,0.342,-0.9,0.3670379664676937,0.7609715715432357,Not Significant
GENE_0211,540.62,-0.285,0.317,-0.9,0.36814945228186846,0.7609715715432357,Not Significant
GENE_0041,507.36,0.353,0.392,0.9,0.3681923717940975,0.7609715715432357,Not Significant
GENE_0092,23.83,-0.27,0.3,-0.9,0.3692511879438777,0.7609715715432357,Not Significant
GENE_0118,153.21,0.283,0.315,0.9,0.36959299491491027,0.7609715715432357,Not Significant
GENE_0464,48.14,0.186,0.207,0.9,0.36991558161691396,0.7609715715432357,Not Significant
GENE_0230,148.06,0.195,0.218,0.89,0.37126327687347216,0.7609715715432357,Not Significant
GENE_0309,94.97,0.367,0.411,0.89,0.3718656549578506,0.7609715715432357,Not Significant
GENE_0183,43.82,-0.455,0.511,-0.89,0.3732449294442203,0.7609715715432357,Not Significant
GENE_0461,172.88,-0.302,0.339,-0.89,0.3736338334638871,0.7609715715432357,Not Significant
GENE_0272,166.51,0.256,0.288,0.89,0.37509620594586346,0.7609715715432357,Not Significant
GENE_0189,1205.15,-0.289,0.326,-0.89,0.37550617278928156,0.7609715715432357,Not Significant
GENE_0077,195.79,0.282,0.319,0.88,0.3765920256231684,0.7609715715432357,Not Significant
GENE_0485,120.77,-0.232,0.262,-0.88,0.3769389491859204,0.7609715715432357,Not Significant
GENE_0479,64.8,0.325,0.368,0.88,0.3770078535433581,0.7609715715432357,Not Significant
GENE_0050,111.51,-0.316,0.359,-0.88,0.38006477152736906,0.7643214339171723,Not Significant
GENE_0179,164.33,-0.306,0.351,-0.87,0.3833608574996945,0.7681259672246625,Not Significant
GENE_0076,21.89,-0.6,0.693,-0.87,0.38676993411351124,0.7721282991244185,Not Significant
GENE_0033,116.74,-0.174,0.202,-0.86,0.3895773079950168,0.774904681720997,Not Significant
GENE_0175,122.38,0.335,0.392,0.85,0.3928107481347123,0.7785053595278537,Not Significant
GENE_0406,180.55,0.358,0.423,0.85,0.39697164745067737,0.7810514589688498,Not Significant
GENE_0215,287.92,-0.412,0.49,-0.84,0.40066657351261026,0.7810514589688498,Not Significant
GENE_0256,170.06,-0.243,0.289,-0.84,0.40115494389818906,0.7810514589688498,Not Significant
GENE_0435,678.42,0.454,0.544,0.83,0.4037825183861592,0.7810514589688498,Not Significant
GENE_0310,97.86,-0.452,0.542,-0.83,0.40399128175492127,0.7810514589688498,Not Significant
GENE_0064,52.92,0.264,0.317,0.83,0.4041260213057265,0.7810514589688498,Not Significant
GENE_0416,150.44,0.245,0.295,0.83,0.40487758006840047,0.7810514589688498,Not Significant
GAPDH,9372.89,0.312,0.376,0.83,0.4063083568237562,0.7810514589688498,Not Significant
GENE_0289,52.43,-0.261,0.316,-0.83,0.40748147723800077,0.7810514589688498,Not Significant
GENE_0037,769.62,0.338,0.41,0.82,0.4098611136193464,0.7810514589688498,Not Significant
GENE_0196,624.9,0.24,0.292,0.82,0.4121920001864364,0.7810514589688498,Not Significant
