gene_id,Control_Rep1,Control_Rep2,Control_Rep3,Treated_Rep1,Treated_Rep2,Treated_Rep3
GENE_0048,38.33,19.0,48.73,28.39,27.51,34.21
GENE_0049,167.09,273.05,158.13,244.71,354.69,205.26
GENE_0050,119.91,108.02,143.21,51.88,140.5,105.56
GENE_0051,213.29,192.04,212.83,316.17,334.05,299.09
GENE_0052,120.9,95.02,122.33,148.79,224.01,212.1
GENE_0053,62.91,37.01,25.86,55.79,47.16,64.51
GENE_0054,331.24,268.05,186.97,175.22,123.8,233.6
GENE_0055,391.19,330.07,185.98,444.4,462.76,433.0
GENE_0056,224.1,185.04,179.02,210.45,275.1,214.06
GENE_0057,26.54,19.0,41.77,40.13,16.7,22.48
GENE_0058,272.26,277.06,263.55,138.02,184.71,192.55
GENE_0059,802.04,532.11,596.72,784.06,380.23,767.28
GENE_0060,41.28,56.01,95.47,81.25,68.78,110.45
GENE_0061,110.08,134.03,150.17,79.29,102.18,60.6
GENE_0062,151.37,210.04,171.06,239.82,281.98,180.82
GENE_0063,139.57,122.02,174.04,162.49,139.52,116.31
GENE_0064,35.38,59.01,49.73,39.15,65.83,68.42
GENE_0065,21.62,39.01,26.85,25.45,47.16,56.69
GENE_0066,140.55,110.02,153.16,143.89,119.87,179.85
GENE_0067,25.56,10.0,30.83,32.3,34.39,37.14
GENE_0068,63.89,52.01,82.55,59.71,49.13,29.32
GENE_0069,115.98,169.03,79.56,74.39,112.99,122.18
GENE_0070,15.73,21.0,9.95,21.53,18.67,15.64
GENE_0071,115.0,160.03,116.36,143.89,80.57,144.66
GENE_0072,83.55,75.02,70.61,59.71,58.95,46.92
GENE_0073,76.67,55.01,58.68,35.24,43.23,53.76
GENE_0074,1279.73,1221.24,916.96,1028.78,647.47,947.12
GENE_0075,94.36,118.02,100.45,77.33,108.08,66.46
GENE_0076,18.68,16.0,44.75,26.43,8.84,16.62
GENE_0077,237.86,122.02,170.06,182.07,269.21,193.53
GENE_0078,174.96,207.04,332.17,275.06,185.69,166.16
GENE_0079,92.39,175.04,153.16,130.19,110.04,138.79
GENE_0080,162.18,150.03,270.51,137.04,179.8,137.82
GENE_0081,331.24,512.1,302.34,384.69,415.6,348.94
GENE_0082,127.78,71.01,80.56,58.73,41.27,98.72
GENE_0083,141.54,276.06,363.0,292.68,320.3,305.93
GENE_0084,119.91,186.04,188.96,344.56,145.41,200.37
GENE_0085,240.81,117.02,145.2,278.97,268.23,194.51
GENE_0086,585.81,922.18,526.11,392.52,276.09,708.63
GENE_0087,133.67,67.01,110.39,83.2,102.18,124.13
GENE_0088,244.74,286.06,324.22,222.2,410.69,210.15
GENE_0089,104.19,95.02,49.73,53.84,90.39,105.56
GENE_0090,433.46,511.1,427.65,679.33,367.46,657.8
GENE_0091,293.89,260.05,118.35,294.64,261.35,381.19
GENE_0092,34.4,23.0,20.89,17.62,26.53,20.53
GENE_0093,163.16,215.04,169.07,214.37,124.78,151.5
GENE_0094,120.9,135.03,114.37,47.96,127.73,115.34
GENE_0095,85.51,270.05,143.21,177.17,134.6,173.0
GENE_0096,423.63,423.08,459.47,504.11,260.37,332.32
GENE_0097,24.57,18.0,4.97,24.47,20.63,20.53
GENE_0098,34.4,56.01,50.72,53.84,66.81,35.19
GENE_0099,88.46,71.01,105.42,81.25,74.67,65.49
GENE_0100,334.19,177.04,218.8,249.61,168.99,210.15
GENE_0101,29.49,26.01,27.85,20.56,33.41,36.16
GENE_0102,85.51,119.02,155.15,130.19,126.74,103.61
GENE_0103,117.95,129.03,104.43,129.21,162.11,190.6
GENE_0104,65.85,107.02,43.76,63.63,64.85,26.39
GENE_0105,29.49,41.01,30.83,23.49,22.6,12.71
GENE_0106,157.26,351.07,227.75,235.9,269.21,289.32
GENE_0107,304.7,297.06,438.59,252.55,241.7,352.85
GENE_0108,58.97,31.01,73.6,24.47,25.55,48.87
GENE_0109,35.38,26.01,49.73,44.05,56.0,48.87
GENE_0110,279.14,347.07,150.17,460.06,231.87,186.69
GENE_0111,234.91,229.05,151.17,129.21,141.48,246.31
GENE_0112,239.83,259.05,206.86,126.27,258.4,237.51
GENE_0113,16.71,24.0,32.82,33.28,30.46,18.57
GENE_0114,364.66,239.05,261.56,458.1,285.91,467.21
GENE_0115,538.63,490.1,481.35,509.98,401.85,361.65
GENE_0116,96.32,156.03,236.7,131.17,150.32,199.39
GENE_0117,76.67,137.03,60.67,114.53,165.06,110.45
GENE_0118,165.13,152.03,97.46,119.42,209.27,175.94
GENE_0119,65.85,48.01,109.4,104.74,73.69,70.37
GENE_0120,181.84,137.03,170.06,138.02,204.36,153.46
GENE_0121,76.67,91.02,114.37,57.75,82.53,72.33
GENE_0122,80.6,61.01,58.68,44.05,53.06,49.85
GENE_0123,159.23,215.04,142.22,195.77,118.88,187.66
GENE_0124,184.78,132.03,205.87,133.12,135.59,124.13
GENE_0125,188.72,345.07,379.91,250.59,341.91,328.41
GENE_0126,368.59,946.19,1051.22,732.18,498.13,644.12
GENE_0127,118.93,113.02,75.58,87.12,114.95,81.13
GENE_0128,179.87,413.08,192.94,149.77,211.24,244.36
GENE_0129,26.54,19.0,14.92,20.56,12.77,13.68
GENE_0130,115.0,141.03,126.31,221.22,226.96,188.64
GENE_0131,126.79,177.04,250.62,177.17,120.85,113.38
GENE_0132,154.31,80.02,121.33,181.09,114.95,195.48
GENE_0133,103.2,99.02,91.5,106.7,97.27,130.0
GENE_0134,73.72,111.02,58.68,99.84,148.36,123.16
GENE_0135,115.98,113.02,97.46,80.27,147.38,88.95
GENE_0136,279.14,313.06,424.66,323.02,242.68,477.96
GENE_0137,188.72,191.04,261.56,102.78,144.43,139.77
GENE_0138,56.03,85.02,64.64,72.44,57.97,57.67
GENE_0139,255.55,241.05,378.92,231.01,243.66,149.55
GENE_0140,62.91,45.01,53.7,48.94,78.6,43.98
GENE_0141,43.25,91.02,52.71,83.2,70.74,77.22
GENE_0142,135.64,126.03,193.93,153.68,268.23,158.34
GENE_0143,252.6,258.05,402.78,199.69,138.53,285.41
GENE_0144,81.58,152.03,141.22,173.26,255.45,177.89
GENE_0145,64.87,74.01,39.78,142.91,63.86,80.15
GENE_0146,24.57,54.01,66.63,49.92,31.44,63.53
GENE_0147,147.43,70.01,179.02,119.42,157.2,146.61
GENE_0148,158.25,239.05,149.18,116.48,145.41,229.69
GENE_0149,222.13,262.05,168.08,205.56,239.73,214.06
GENE_0150,650.68,549.11,546.0,561.86,730.01,464.28
GENE_0151,54.06,64.01,120.34,77.33,65.83,52.78
GENE_0152,75.68,29.01,56.69,50.9,57.97,49.85
GENE_0153,76.67,106.02,106.41,71.46,50.11,127.06
GENE_0154,1150.97,1077.22,1304.82,1206.93,1232.07,1339.07
GENE_0155,164.14,162.03,126.31,148.79,180.78,199.39
GENE_0156,44.23,86.02,61.66,52.86,41.27,60.6
GENE_0157,188.72,137.03,92.49,136.06,257.42,267.81
GENE_0158,372.52,194.04,147.19,137.04,222.05,238.49
GENE_0159,102.22,46.01,110.39,78.31,74.67,102.63
GENE_0160,377.43,365.07,393.83,314.21,170.96,306.91
GENE_0161,14.74,22.0,16.91,29.37,23.58,19.55
GENE_0162,327.3,293.06,210.84,320.09,218.12,325.48
GENE_0163,135.64,253.05,236.7,86.14,249.56,110.45
GENE_0164,226.07,236.05,275.48,244.71,160.15,375.33
GENE_0165,61.92,111.02,75.58,68.52,86.46,103.61
GENE_0166,1032.04,1142.23,1216.31,1378.23,1095.5,1574.63
GENE_0167,229.02,280.06,253.61,179.13,117.9,130.0
GENE_0168,87.48,61.01,75.58,55.79,52.07,59.62
GENE_0169,65.85,49.01,61.66,56.77,52.07,73.31
GENE_0170,83.55,81.02,62.66,39.15,48.14,52.78
GENE_0171,309.61,337.07,502.24,375.88,307.53,395.86
GENE_0172,244.74,151.03,186.97,197.73,165.06,88.95
GENE_0173,78.63,113.02,100.45,47.96,122.81,114.36
GENE_0174,63.89,75.02,112.38,98.86,86.46,45.94
GENE_0175,92.39,82.02,150.17,111.59,187.66,110.45
GENE_0176,131.71,208.04,146.2,217.31,288.86,156.39
GENE_0177,220.17,215.04,296.37,291.7,417.57,374.35
GENE_0178,299.78,159.03,108.4,194.79,149.34,169.09
GENE_0179,238.84,182.04,124.32,105.72,152.29,182.78
GENE_0180,495.38,574.11,528.1,569.69,432.3,602.09
GENE_0181,55.04,42.01,50.72,56.77,48.14,55.71
GENE_0182,112.05,193.04,212.83,182.07,152.29,137.82
GENE_0183,31.45,81.02,39.78,41.11,33.41,36.16
GENE_0184,79.61,133.03,87.52,226.12,125.76,104.58
GENE_0185,687.05,337.07,364.0,279.95,761.45,561.04
GENE_0186,315.51,727.15,428.64,472.79,271.17,450.59
GENE_0187,91.41,153.03,159.12,119.42,112.01,112.4
GENE_0188,62.91,70.01,53.7,65.58,83.51,41.05
GENE_0189,1581.48,1257.25,1137.74,972.0,1541.56,740.89
GENE_0190,161.2,186.04,90.5,152.7,149.34,222.85
GENE_0191,61.92,27.01,53.7,54.82,84.5,50.83
GENE_0192,231.96,79.02,114.37,90.05,92.36,56.69
GENE_0193,78.63,140.03,101.44,41.11,117.9,99.7
GENE_0194,50.13,78.02,68.62,63.63,146.39,124.13
GENE_0195,23.59,32.01,22.87,27.41,29.48,51.8
GENE_0196,412.82,800.16,506.22,651.92,771.27,606.98
GENE_0197,19.66,18.0,21.88,20.56,19.65,13.68
GENE_0198,111.07,141.03,118.35,56.77,139.52,114.36
GENE_0199,17.69,15.0,22.87,16.64,6.88,10.75
GENE_0200,86.49,76.02,64.64,120.4,96.29,56.69
GENE_0201,52.09,38.01,28.84,28.39,23.58,55.71
GENE_0202,271.28,200.04,282.45,399.37,403.81,356.76
GENE_0203,649.7,342.07,570.86,525.65,335.04,851.33
GENE_0204,508.16,597.12,306.32,342.6,791.9,881.63
GENE_0205,672.3,832.17,921.93,720.44,917.67,758.48
GENE_0206,78.63,82.02,76.58,47.96,95.3,82.1
GENE_0207,94.36,149.03,153.16,93.97,127.73,185.71
GENE_0208,29.49,153.03,57.68,68.52,106.11,44.96
GENE_0209,57.01,32.01,106.41,65.58,98.25,81.13
GENE_0210,25.56,28.01,51.72,41.11,39.3,35.19
GENE_0211,759.78,482.1,540.03,570.67,320.3,570.81
GENE_0212,48.16,46.01,37.79,65.58,34.39,43.01
GENE_0213,91.41,131.03,104.43,152.7,77.62,87.97
GENE_0214,175.94,173.03,171.06,197.73,186.68,202.33
GENE_0215,221.15,276.06,489.31,183.05,353.7,204.28
GENE_0216,49.14,41.01,63.65,55.79,133.62,76.24
GENE_0217,555.34,226.05,474.39,509.98,636.67,384.13
GENE_0218,51.11,29.01,20.89,49.92,26.53,35.19
GENE_0219,217.22,295.06,285.43,120.4,140.5,191.57
GENE_0220,353.84,382.08,140.23,273.1,372.37,340.14
GENE_0221,24.57,35.01,39.78,30.34,44.21,9.77
GENE_0222,169.06,302.06,166.09,190.88,207.31,173.98
GENE_0223,158.25,223.04,250.62,147.81,281.98,163.23
GENE_0224,134.66,166.03,76.58,138.02,55.02,108.49
GENE_0225,9.83,9.0,13.92,15.66,10.81,11.73
GENE_0226,19.66,11.0,11.93,10.77,29.48,16.62
GENE_0227,136.62,199.04,154.15,72.44,118.88,126.09
GENE_0228,88.46,104.02,147.19,164.45,105.13,125.11
GENE_0229,80.6,191.04,192.94,90.05,239.73,159.32
GENE_0230,123.85,141.03,149.18,148.79,198.47,127.06
GENE_0231,53.08,57.01,64.64,75.37,137.55,61.58
GENE_0232,617.26,473.09,668.32,475.72,522.7,383.15
GENE_0233,318.46,305.06,248.63,220.24,327.18,285.41
GENE_0234,45.21,50.01,59.67,43.07,39.3,46.92
GENE_0235,115.98,239.05,106.41,183.05,187.66,110.45
GENE_0236,186.75,378.08,206.86,328.9,198.47,99.7
GENE_0237,339.1,522.1,300.35,276.04,297.7,199.39
GENE_0238,101.24,131.03,136.25,94.95,140.5,82.1
GENE_0239,96.32,77.02,169.07,117.46,50.11,107.52
GENE_0240,285.04,200.04,145.2,263.31,313.42,201.35
GENE_0241,522.9,239.05,377.92,441.46,483.4,456.46
GENE_0242,94.36,36.01,105.42,99.84,93.34,135.86
GENE_0243,211.32,401.08,688.21,657.79,344.86,384.13
GENE_0244,213.29,122.02,191.94,109.63,97.27,133.91
GENE_0245,252.6,276.06,200.9,222.2,139.52,96.76
GENE_0246,24.57,48.01,45.75,32.3,33.41,38.12
GENE_0247,50.13,43.01,39.78,32.3,16.7,33.23
GENE_0248,304.7,232.05,326.21,324.0,305.56,239.47
GENE_0249,86.49,88.02,75.58,93.97,80.57,76.24
GENE_0250,124.83,86.02,63.65,120.4,103.16,76.24
GENE_0251,175.94,143.03,179.02,101.8,157.2,162.25
GENE_0252,287.01,218.04,337.15,193.81,264.3,286.38
GENE_0253,14.74,13.0,13.92,14.68,10.81,8.8
GENE_0254,56.03,41.01,31.82,41.11,63.86,36.16
GENE_0255,40.3,75.02,41.77,44.05,50.11,44.96
GENE_0256,146.45,155.03,251.62,147.81,155.24,164.21
GENE_0257,40.3,110.02,107.41,67.54,62.88,49.85
GENE_0258,46.2,30.01,58.68,46.99,68.78,82.1
GENE_0259,28.5,13.0,19.89,11.75,33.41,38.12
GENE_0260,105.17,156.03,213.82,149.77,320.3,262.93
GENE_0261,292.9,234.05,235.7,294.64,509.92,480.89
GENE_0262,318.46,200.04,200.9,269.19,296.72,289.32
GENE_0263,194.61,208.04,241.67,271.14,401.85,182.78
GENE_0264,185.77,116.02,140.23,235.9,114.95,271.72
GENE_0265,178.89,162.03,214.82,86.14,189.62,137.82
GENE_0266,328.29,316.06,193.93,285.83,535.47,223.83
GENE_0267,22.61,20.0,35.8,13.7,24.56,26.39
GENE_0268,882.64,1073.21,342.12,833.01,795.83,614.8
GENE_0269,196.58,127.03,240.68,117.46,92.36,101.65
GENE_0270,248.67,158.03,165.09,166.41,130.67,157.36
GENE_0271,505.21,675.14,542.02,751.76,534.49,246.31
GENE_0272,103.2,168.03,183.99,146.83,223.03,173.98
GENE_0273,57.01,47.01,61.66,68.52,62.88,70.37
GENE_0274,338.12,297.06,279.46,317.15,238.75,434.95
GENE_0275,101.24,126.03,104.43,117.46,170.96,162.25
GENE_0276,236.88,356.07,423.67,312.26,151.31,325.48
GENE_0277,273.25,278.06,185.98,262.33,212.22,200.37
GENE_0278,291.92,229.05,357.04,211.43,298.68,164.21
GENE_0279,149.4,166.03,198.91,205.56,200.43,135.86
GENE_0280,252.6,304.06,304.33,404.27,308.51,299.09
GENE_0281,74.7,45.01,74.59,87.12,67.79,89.92
GENE_0282,129.74,84.02,151.17,107.67,78.6,102.63
GENE_0283,354.83,645.13,395.82,531.52,477.5,543.45
GENE_0284,4.91,10.0,27.85,13.7,7.86,9.77
GENE_0285,273.25,248.05,386.87,378.82,336.02,645.1
GENE_0286,235.9,327.07,228.74,154.66,159.17,226.76
GENE_0287,25.56,35.01,22.87,47.96,40.28,48.87
GENE_0288,114.02,89.02,80.56,137.04,97.27,120.22
GENE_0289,64.87,62.01,44.75,57.75,28.49,56.69
GENE_0290,147.43,78.02,256.59,236.88,81.55,176.91
GENE_0291,156.28,115.02,147.19,175.22,147.38,129.02
GENE_0292,358.76,282.06,295.38,347.49,218.12,202.33
GENE_0293,100.26,51.01,146.2,63.63,84.5,96.76
GENE_0294,443.29,650.13,557.93,577.53,349.77,346.01
GENE_0295,205.43,139.03,146.2,145.85,163.1,77.22
GENE_0296,129.74,160.03,102.44,145.85,129.69,176.91
GENE_0297,113.03,95.02,142.22,102.78,88.43,105.56
GENE_0298,221.15,182.04,272.5,164.45,200.43,131.95
GENE_0299,101.24,111.02,99.45,103.76,230.89,121.2
GENE_0300,468.84,712.14,546.99,881.95,561.01,371.42
GENE_0301,287.99,499.1,422.68,343.58,315.39,459.39
GENE_0302,296.84,153.03,244.65,204.58,317.35,106.54
GENE_0303,247.69,240.05,305.32,193.81,204.36,206.24
GENE_0304,123.85,185.04,193.93,138.02,139.52,184.73
GENE_0305,246.71,292.06,360.02,247.65,275.1,377.28
GENE_0306,86.49,72.01,61.66,42.09,57.97,73.31
GENE_0307,199.53,177.04,129.29,132.15,140.5,102.63
GENE_0308,215.25,317.06,338.14,328.9,280.02,305.93
GENE_0309,117.95,79.02,51.72,112.57,71.72,136.84
GENE_0310,182.82,81.02,75.58,96.91,59.93,90.9
GENE_0311,16.71,20.0,12.93,15.66,10.81,13.68
GENE_0312,137.61,289.06,196.92,281.91,200.43,423.22
GENE_0313,33.42,44.01,33.81,22.51,42.25,27.37
GENE_0314,61.92,55.01,72.6,27.41,34.39,55.71
GENE_0315,38.33,62.01,27.85,30.34,30.46,11.73
GENE_0316,372.52,639.13,273.5,382.73,317.35,207.21
GENE_0317,256.54,220.04,337.15,382.73,423.46,379.24
GENE_0318,17.69,20.0,23.87,17.62,13.76,35.19
GENE_0319,290.94,298.06,244.65,462.02,376.3,273.68
GENE_0320,172.01,281.06,292.39,362.18,288.86,287.36
GENE_0321,102.22,98.02,82.55,60.69,110.04,111.43
GENE_0322,99.27,194.04,68.62,208.5,160.15,243.38
GENE_0323,717.52,733.15,344.11,739.04,709.37,288.34
GENE_0324,670.34,344.07,494.28,395.46,321.28,318.64
GENE_0325,26.54,13.0,24.86,39.15,15.72,34.21
GENE_0326,165.13,299.06,167.08,219.26,349.77,456.46
GENE_0327,12.78,9.0,22.87,31.32,11.79,12.71
GENE_0328,108.12,51.01,77.57,42.09,75.65,25.41
GENE_0329,234.91,533.11,325.21,448.32,355.67,334.28
GENE_0330,60.94,88.02,74.59,65.58,95.3,34.21
GENE_0331,154.31,181.04,219.79,151.72,253.49,141.73
GENE_0332,59.96,89.02,114.37,69.5,119.87,125.11
GENE_0333,149.4,95.02,139.23,144.87,77.62,201.35
GENE_0334,32.44,86.02,72.6,102.78,46.18,55.71
GENE_0335,414.78,710.14,572.85,320.09,435.25,801.49
GENE_0336,550.42,358.07,545.0,347.49,763.41,593.29
GENE_0337,167.09,229.05,223.77,192.83,180.78,196.46
GENE_0338,42.26,42.01,54.7,38.18,44.21,47.89
GENE_0339,180.85,140.03,342.12,259.4,138.53,197.44
GENE_0340,199.53,215.04,259.57,205.56,280.02,162.25
GENE_0341,946.53,792.16,1454.0,1219.66,772.25,1056.59
GENE_0342,22.61,32.01,35.8,31.32,19.65,27.37
GENE_0343,121.88,183.04,120.34,151.72,170.96,132.93
GENE_0344,473.76,319.06,281.45,316.17,177.83,280.52
GENE_0345,75.68,110.02,103.43,75.37,85.48,80.15
GENE_0346,33.42,48.01,54.7,56.77,46.18,24.44
GENE_0347,28.5,30.01,41.77,28.39,17.69,20.53
GENE_0348,129.74,115.02,105.42,119.42,74.67,94.81
GENE_0349,429.53,361.07,218.8,242.76,171.94,259.99
GENE_0350,322.39,362.07,182.0,335.75,180.78,173.98
GENE_0351,118.93,206.04,165.09,179.13,183.73,118.27
GENE_0352,204.44,158.03,98.46,127.25,120.85,157.36
GENE_0353,52.09,61.01,71.61,95.93,51.09,39.1
GENE_0354,235.9,161.03,168.08,184.03,194.54,367.51
GENE_0355,241.79,247.05,187.97,247.65,254.47,304.96
GENE_0356,435.42,243.05,309.3,330.85,232.86,496.53
GENE_0357,307.65,229.05,458.48,225.14,238.75,233.6
GENE_0358,75.68,21.0,72.6,53.84,29.48,86.01
GENE_0359,520.94,314.06,258.58,391.54,373.35,459.39
GENE_0360,31.45,113.02,57.68,97.89,104.15,57.67
GENE_0361,94.36,165.03,136.25,78.31,121.83,145.64
GENE_0362,63.89,42.01,70.61,39.15,82.53,56.69
GENE_0363,56.03,106.02,66.63,46.01,56.99,100.67
GENE_0364,461.96,554.11,377.92,352.39,372.37,447.66
GENE_0365,114.02,81.02,75.58,118.44,98.25,89.92
GENE_0366,515.04,279.06,365.99,393.5,361.56,239.47
GENE_0367,18.68,26.01,22.87,30.34,32.42,24.44
GENE_0368,16.71,13.0,29.84,9.79,9.83,17.59
GENE_0369,287.99,237.05,288.41,198.71,216.15,226.76
GENE_0370,59.96,57.01,17.9,35.24,48.14,63.53
GENE_0371,752.9,633.13,823.47,1017.03,813.52,778.03
GENE_0372,207.39,264.05,468.42,415.04,417.57,416.38
GENE_0373,287.01,201.04,178.02,119.42,161.13,165.18
GENE_0374,46.2,34.01,54.7,33.28,24.56,17.59
GENE_0375,312.56,304.06,343.11,457.13,201.41,203.3
GENE_0376,240.81,205.04,196.92,165.43,197.48,246.31
GENE_0377,505.21,370.07,800.6,552.08,566.91,590.36
GENE_0378,69.79,85.02,117.35,141.93,75.65,68.42
GENE_0379,103.2,57.01,109.4,75.37,70.74,43.98
GENE_0380,1017.3,653.13,1179.51,810.49,885.24,834.72
GENE_0381,280.13,281.06,280.46,331.83,267.24,351.87
GENE_0382,347.95,276.06,246.64,278.0,221.07,195.48
GENE_0383,263.42,252.05,148.18,199.69,213.2,228.72
GENE_0384,20.64,29.01,23.87,9.79,20.63,28.35
GENE_0385,917.04,1586.32,1463.95,1255.87,1425.62,1616.66
GENE_0386,392.18,790.16,513.18,489.43,765.38,465.25
GENE_0387,230.0,120.02,108.4,154.66,175.87,189.62
GENE_0388,35.38,41.01,64.64,30.34,51.09,43.98
GENE_0389,20.64,18.0,13.92,14.68,12.77,33.23
GENE_0390,57.99,84.02,40.78,43.07,59.93,42.03
GENE_0391,252.6,277.06,247.64,274.08,523.68,329.39
GENE_0392,555.34,470.09,417.7,351.41,335.04,719.38
GENE_0393,123.85,77.02,63.65,94.95,65.83,144.66
GENE_0394,65.85,97.02,81.55,116.48,86.46,113.38
GENE_0395,121.88,150.03,152.16,168.36,134.6,131.95
GENE_0396,37.35,29.01,36.8,26.43,30.46,22.48
GENE_0397,13.76,33.01,16.91,33.28,10.81,22.48
GENE_0398,201.49,187.04,122.33,109.63,157.2,205.26
GENE_0399,241.79,200.04,165.09,278.0,113.97,171.05
GENE_0400,113.03,92.02,93.49,104.74,112.01,67.44
